index,Category,iPhone,YOY growth
0,Q2/07,0.27,
1,Q3/07,1.119,
2,Q4/07,2.315,
3,Q1/08,1.703,
4,Q2/08,0.717,165.56
5,Q3/08,6.892,515.91
6,Q4/08,4.363,88.47
7,Q1/09,3.793,122.72
8,Q2/09,5.208,626.36
9,Q3/09,7.367,6.89
10,Q4/09,8.737,100.25
11,Q1/10,8.752,130.74
12,Q2/10,8.398,61.25
13,Q3/10,14.102,91.42
14,Q4/10,16.235,85.82
15,Q1/11,18.647,113.06
16,Q2/11,20.338,142.18
17,Q3/11,17.073,21.07
18,Q4/11,37.044,128.17
19,Q1/12,35.064,88.04
20,Q2/12,26.028,27.98
21,Q3/12,26.91,57.62
22,Q4/12,47.789,29.01
23,Q1/13,37.43,6.75
24,Q2/13,31.241,20.03
25,Q3/13,33.797,25.59
26,Q4/13,51.025,6.77
27,Q1/14,43.719,16.8
28,Q2/14,35.203,12.68
29,Q3/14,39.272,16.2
30,Q4/14,74.468,45.94
31,Q1/15,61.17,39.92
32,Q2/15,47.534,35.03
33,Q3/15,48.046,22.34
34,Q4/15,74.779,0.42
35,Q1/16,51.193,-16.31
36,Q2/16,40.399,-15.01
